OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
1,2020/04/13 14:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020/04/14 14:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,
3,2020/04/15 14:00:00+00,0,5,5,2,0,0,2,0,0,0,7,0,3,1,0,14,11,0,0,0,0,0,0,0,14
4,2020/04/16 14:00:00+00,0,6,6,4,0,0,2,,0,0,7,0,4,1,0,14,10,0,0,0,0,0,0,0,13
5,2020/04/17 14:00:00+00,0,6,7,4,0,0,2,0,0,0,7,0,6,1,0,15,10,0,0,0,0,0,0,0,11
6,2020/04/18 14:00:00+00,0,7,7,3,0,0,2,0,0,0,8,0,5,2,0,16,10,0,0,0,0,0,0,0,11
7,2020/04/19 14:00:00+00,0,6,6,5,0,0,1,0,0,0,5,0,5,1,0,16,7,0,0,0,0,0,0,0,10
8,2020/04/20 14:00:00+00,0,6,6,5,0,0,1,0,1,0,5,0,5,1,0,17,9,0,0,0,0,0,0,0,10
9,2020/04/21 14:00:00+00,0,7,7,5,0,0,0,0,1,0,5,0,6,1,0,17,7,0,0,0,0,0,0,0,12
10,2020/04/22 14:00:00+00,0,7,9,6,0,0,0,0,1,0,6,0,6,1,0,16,7,0,0,0,0,0,0,0,8
11,2020/04/23 14:00:00+00,0,7,9,6,0,0,0,0,1,0,6,0,6,1,0,18,9,0,0,0,0,0,0,0,5
12,2020/04/24 14:00:00+00,0,7,8,6,0,0,0,0,1,0,6,0,6,1,0,19,11,0,0,0,0,0,0,0,9
13,2020/04/25 14:00:00+00,0,8,10,6,0,0,0,0,1,0,6,0,7,1,0,19,11,0,0,0,0,0,0,0,9
14,2020/04/26 14:00:00+00,0,8,10,6,0,0,0,0,1,0,6,0,7,1,0,20,11,0,0,0,0,0,0,0,13
15,2020/04/27 14:00:00+00,0,8,11,6,0,0,0,0,1,0,6,0,7,1,0,20,11,0,0,0,0,0,0,0,16
16,2020/04/28 14:00:00+00,0,8,13,7,0,0,0,0,1,0,6,0,7,1,0,20,11,0,0,0,0,0,0,0,13
17,2020/04/29 14:00:00+00,0,8,14,7,0,0,0,0,1,0,6,0,7,1,0,24,11,0,0,1,0,0,0,0,13
18,2020/04/30 14:00:00+00,0,8,13,8,0,0,0,0,1,0,7,0,7,1,0,26,11,0,0,1,0,0,0,0,10
19,2020/05/01 14:00:00+00,0,8,13,9,0,0,0,0,2,0,7,0,6,1,0,26,12,0,0,0,0,0,0,1,9
20,2020/05/02 14:00:00+00,0,8,14,9,1,0,0,0,2,0,7,0,6,1,0,26,12,0,0,0,0,0,0,1,8
21,2020/05/03 14:00:00+00,0,8,14,9,1,0,0,0,3,0,7,0,6,1,0,27,12,0,0,0,0,0,0,1,10
22,2020/05/04 14:00:00+00,0,8,15,9,1,0,0,0,3,0,7,0,6,1,0,27,13,0,0,0,0,0,0,1,10
23,2020/05/05 14:00:00+00,0,9,15,9,1,0,0,0,3,0,7,0,4,1,0,28,15,0,0,0,0,0,0,1,7
24,2020/05/06 14:00:00+00,0,9,14,9,1,0,0,0,3,0,7,0,4,1,0,29,15,0,0,0,0,0,0,1,6
25,2020/05/07 14:00:00+00,0,9,14,9,1,0,0,0,3,0,7,0,4,1,0,30,15,0,0,0,0,0,0,1,8
26,2020/05/08 14:00:00+00,0,10,15,9,1,0,0,0,3,0,6,0,4,1,0,31,16,0,0,0,0,0,0,1,10
27,2020/05/09 14:00:00+00,0,9,16,9,1,0,0,0,1,0,6,0,4,1,0,33,16,0,0,0,0,0,0,1,7
28,2020/05/10 14:00:00+00,0,9,16,9,1,0,0,0,1,0,6,0,4,1,0,34,16,0,0,0,0,0,0,1,8
29,2020/05/11 14:00:00+00,0,9,16,9,1,0,0,0,1,0,6,0,4,1,0,35,17,0,0,0,0,0,0,1,10
30,2020/05/12 14:00:00+00,0,10,16,9,1,0,0,0,1,0,6,0,4,1,0,34,18,0,0,0,0,0,0,1,12
31,2020/05/13 14:00:00+00,0,10,15,9,1,0,0,0,1,0,6,0,4,2,0,36,19,0,0,0,0,0,0,1,11
32,2020/05/14 14:00:00+00,0,9,16,9,1,0,0,0,2,0,6,0,4,2,0,40,19,0,0,0,0,0,0,1,9
33,2020/05/15 14:00:00+00,0,8,17,9,1,0,0,0,2,0,7,0,4,2,0,38,20,0,0,0,0,0,0,1,10
34,2020/05/16 14:00:00+00,0,8,17,8,1,0,0,0,2,0,7,0,3,2,0,38,21,0,0,0,0,0,0,1,7
35,2020/05/17 14:00:00+00,0,8,18,8,1,0,0,0,2,0,7,0,3,2,0,38,21,0,0,0,0,0,0,1,7
36,2020/05/18 14:00:00+00,0,8,18,8,1,0,0,0,2,0,7,0,3,3,0,38,21,0,0,0,0,0,0,1,10
37,2020/05/19 14:00:00+00,0,8,16,8,1,0,0,0,1,0,7,0,3,3,0,38,21,0,0,0,0,0,0,1,11
38,2020/05/20 14:00:00+00,0,8,16,7,1,0,1,0,1,0,7,0,3,4,0,41,21,0,0,0,0,0,0,1,8
39,2020/05/21 14:00:00+00,0,8,15,8,1,0,1,0,1,0,7,0,3,4,0,37,22,0,0,0,0,0,0,1,6
40,2020/05/22 14:00:00+00,0,8,15,7,1,0,2,0,2,0,7,0,3,4,0,38,22,0,0,0,0,0,0,1,5
41,2020/05/23 14:00:00+00,0,8,15,9,1,0,2,0,2,0,7,0,3,4,0,36,22,0,0,0,0,0,0,1,3
42,2020/05/24 14:00:00+00,0,8,15,9,1,0,2,0,2,0,7,0,3,4,0,36,22,0,0,0,0,0,0,1,5
43,2020/05/25 14:00:00+00,0,8,15,9,1,0,2,0,2,0,7,0,3,4,0,36,22,0,0,0,0,0,0,1,5
44,2020/05/26 14:00:00+00,0,8,15,9,2,0,2,0,2,0,7,0,3,4,0,36,22,0,0,0,0,0,0,1,5
45,2020/05/27 14:00:00+00,0,9,16,8,2,0,4,0,1,0,7,0,3,4,0,37,24,0,0,0,0,0,0,1,6
46,2020/05/28 14:00:00+00,0,9,15,8,1,0,3,0,1,0,7,0,3,4,0,39,24,0,0,0,0,0,0,1,6
47,2020/05/29 14:00:00+00,0,9,16,8,1,0,2,0,1,0,7,0,3,4,0,40,24,0,0,0,0,0,0,1,2
48,2020/05/30 14:00:00+00,0,9,15,8,1,0,1,0,1,0,7,0,3,4,0,40,24,0,0,0,0,0,0,1,5
49,2020/05/31 14:00:00+00,0,9,15,8,1,0,1,0,1,0,7,0,3,4,0,40,24,0,0,0,0,0,0,1,7
50,2020/06/01 14:00:00+00,0,9,16,8,1,0,2,0,1,0,7,0,3,5,0,40,24,0,0,0,0,0,0,1,4
