GEOID,2016,2017,2018,2019,13qct,14qct,15qct,17qct,16qct,18qct,19qct,NMDDA
22009030700,36779608,,,,0,0,0,0,,0,0,
22103041300,34936029,,,,0,0,0,0,,0,0,
22051025600,,,,,0,0,0,0,,0,0,
11001005800,,107221421,147183336,105843653,0,0,0,0,,0,0,
24031700904,,51921784,96007026,125173257,0,0,0,0,,0,0,
35043011000,13194384,3055038,109727616,145524784,0,0,0,0,0,0,0,
22057020100,48733387,3785403,,,0,0,0,0,,0,0,
40131050407,95549518,9337235,,,0,0,0,0,0,0,0,
51139030200,10753409,101801022,33892619,58120977,0,0,0,0,0,0,0,0
24023000600,91916,36094285,51206136,100634546,0,0,0,0,,0,0,
29169470287,6735230,,,,0,0,0,0,,0,0,
40109103800,,,,,0,0,0,0,0,0,0,
2170000900,,38095732,31522489,76036571,0,0,0,0,0,0,0,
48141002201,,,,,0,0,0,0,0,0,0,
16049940000,33392464,42309707,31741112,,0,0,0,0,,0,0,
6095252912,,,,,0,0,0,0,0,0,0,
11001005800,,19075853,4924344,,0,0,0,0,,0,0,
48439123300,,,18143005,,0,0,0,0,0,0,0,
40019892700,,,,,0,0,0,0,0,0,0,0
26097950300,38913287,20158456,4973190,3994549,0,0,0,0,,0,0,
15001021702,45825411,9619865,0,,0,0,0,0,,0,0,
24023000500,,,,,0,0,0,0,,0,0,
12095018400,,,,,0,0,0,0,,0,0,
22007050300,,,,,0,0,0,0,,0,0,
6001425104,,,,,0,0,0,0,0,0,0,
37123960100,,,77056228,,0,0,0,0,0,0,0,0
11001005800,,50254929,17906587,,0,0,0,0,,0,0,
27053026103,,5099217,21355078,50067326,0,0,0,0,,0,0,
11001010600,777615,38643427,1643181,22161035,0,0,0,0,,0,0,
2170001201,2100660,43268184,10405492,5589204,0,0,0,0,0,0,0,
45009960200,,,,,0,0,0,0,0,0,0,1
24031700904,8732067,20842715,9375115,5646711,0,0,0,0,,0,0,
53059950200,,,,,0,0,0,0,0,0,0,
6019004207,,,,,0,0,0,0,0,0,0,
16021970100,,16374939,13902200,25582687,0,0,0,0,,0,0,
53033030401,,9839519,,,0,0,0,0,0,0,0,
16075960300,28807620,4801270,,,0,0,0,0,,0,0,
11001010600,17761181,14337216,6420478,6420478,0,0,0,0,,0,0,
6021010300,,7377540,35036032,9013113,0,0,0,0,0,0,0,
55029100800,,36582374,6384170,6369080,0,0,0,0,0,0,0,0
41019020000,,24134051,12564525,12539525,0,0,0,0,0,0,0,1
6067005204,,36230387,11997407,,0,0,0,0,0,0,0,
36065980100,,,,,0,0,0,0,0,0,0,
32005002200,,25000,36575199,10621485,0,0,0,0,0,0,0,1
12117020201,,,,,0,0,0,0,,0,0,
4013941100,,,,,0,0,0,0,0,0,0,
6073010015,,8594409,,,0,0,0,0,0,0,0,
40109107606,,13222162,24044617,8299820,0,0,0,0,0,0,0,
12043000300,,,,,0,0,0,0,,0,0,
21085950400,1151400,26631345,0,,0,0,0,0,,0,0,
22071013900,15898229,15681775,2761600,0,0,0,0,0,,0,0,
51107610601,,360316,,,0,0,0,0,0,0,0,
40031000600,,,,,0,0,0,0,0,0,0,
1101005101,,8134480,,,0,0,0,0,0,0,0,
28099940100,,26172660,5354331,5354331,0,0,0,0,,0,0,
37157040300,,,,,0,0,0,0,0,0,0,
16055001002,619074,8742639,,,0,0,0,0,,0,0,
48201334100,,,,34025988,0,0,0,0,0,0,0,
6077003803,,,,6102012,0,0,0,0,0,0,0,
21165960200,,334904,,,0,0,0,0,,0,0,
36045060600,,,,,0,0,0,0,0,0,0,
16079960300,1828351,30935838,0,0,0,0,0,0,,0,0,
51095080202,,,,32709526,0,0,0,0,0,0,0,
1121010202,,,,,0,0,0,0,0,0,0,
48201531600,,,,,0,0,0,0,0,0,0,
29077003800,,23185372,7540161,,0,0,0,0,,0,0,
29211480300,,,,,0,0,0,0,,0,0,
56001962700,,3409712,,,0,0,0,0,0,0,0,0
51710004900,,8481131,16962262,,0,0,0,0,0,0,0,
2110000300,,,,24741216,0,0,0,0,0,0,0,
11001010100,,20325696,,4101790,0,0,0,0,,0,0,
47161110200,,,,,0,0,0,0,0,0,0,0
51177020304,,,23122109,,0,0,0,0,0,0,0,
28083950600,,,,,0,0,0,0,,0,0,
29207470800,,,,,0,0,0,0,,0,0,
37163970301,,15049474,,5276375,0,0,0,0,0,0,0,0
48201511100,,,,,0,0,0,0,0,0,0,
16079960300,,,,,0,0,0,0,,0,0,
35039944100,,19236323,,,0,0,0,0,0,0,0,0
12019030201,,19069550,0,0,0,0,0,0,,0,0,
24031700904,,18608708,,,0,0,0,0,,0,0,
36103146300,155407,,,,0,0,0,0,0,0,0,
51810042000,,5315078,12982676,,0,0,0,0,0,0,0,
28149950500,,,,,0,0,0,0,,0,0,
40143006703,,2981061,6449931,7438431,0,0,0,0,0,0,0,
37199960300,,,,16740333,0,0,0,0,0,0,0,1
17031320400,,16472219,,,0,0,0,0,,0,0,
47045964000,,1413410,6874114,7203146,0,0,0,0,0,0,0,0
40071001100,,10887263,961776,3553364,0,0,0,0,0,0,0,0
45019003106,,,,,0,0,0,0,0,0,0,
41019050001,,,11946932,2986731,0,0,0,0,0,0,0,1
47045964200,,,,,0,0,0,0,0,0,0,0
51179010204,,3312325,,,0,0,0,0,0,0,0,
29095015800,,,,,0,0,0,0,,0,0,
29023950201,,6055090,,,0,0,0,0,,0,0,
15001021702,,10969684,1743000,1743000,0,0,0,0,,0,0,
40143003100,,,,,0,0,0,0,0,0,0,
39163953000,,3817296,4609089,6000200,0,0,0,0,0,0,0,0
41019050001,,14178632,,,0,0,0,0,0,0,0,1
36103145603,,,5405124,8764328,0,0,0,0,0,0,0,
6107001602,,,,,0,0,0,0,0,0,0,
72025200600,,,6753715,6753715,0,0,0,0,0,0,0,
13175950500,1827880,0,,,0,0,0,0,,0,0,
