GEOID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019, grand_total ,cbsasub,NMDDA_output
22009030700,5198390,10991821.87,6273809.32,23880143.16,27286231.6,5381643.95,10049085.85,1243893.06,559901.22,973063.57,,,," $91,837,983.60 ",,
22103041300,,,,,,1797911.27,3715192.86,608314.11,0,48926.6,,,," $6,170,344.84 ",,
22051025600,,,22131295,-143930.12,20645881.9,19162297.06,-1058660.21,6640684.27,,-79277,,,," $67,298,290.90 ",,
11001005800,,,,,,"$714,863.09 ","$1,179,129.09 ","$27,123,459.03 ","$4,315,183.16 ","$38,184,196.33 ","$21,192,514.02 ","$6,066,654.62 ","$11,945,235.58 "," $110,721,234.92 ",,
24031700904,,,,,,,76903.57,15436265.86,13862948.22,10597472.45,6669849.03,16280461.87,6523184.46," $69,447,085.46 ",,
35043011000,,,,,,4046365.12,6713876.27,6407591.05,6630722.46,7955103.23,5094400.77,6090752.02,4850625.55," $47,789,436.47 ",METRO10740M10740,
22057020100,,10000,33168727,85786341.69,33699420.68,20539453.61,28380267.06,-2518707.51,,6879060.84,0,,," $205,944,563.37 ",,
40131050407,,,,,15101899,9149,37627132,22786875.68,11998626.67,3425351.67,3111460.88,,," $94,060,494.90 ",METRO46140M46140,
51139030200,,,,,131390.67,726962.31,43838908.13,23273590.12,72305626.07,70475020.83,85618755.47,64366534.32,38942878.74," $399,679,666.66 ",NCNTY51139N51139,0
24023000600,0,126475,288362.77,266034.58,412295.86,403959.23,173638.55,532130.63,2641600.81,4259208.17,3990772.13,5947494.58,4611333.75," $23,653,306.06 ",,
29169470287,,,,1817932.83,9377783.66,9524651.46,8144350.24,6518664.18,2641907.29,55395.64,,,," $38,080,685.30 ",,
40109103800,0,22376595,4175416,0,0,,,,,,,,," $26,552,011.00 ",METRO36420M36420,
2170000900,,,,,,,,7954440,3882658,21805209.87,25275826.84,17858153.2,746472.92," $77,522,760.83 ",,
48141002201,,,19650346,6668027,6441521,5582552,263050,0,,,,,," $38,605,496.00 ",METRO21340M21340,
16049940000,,,,,,,,25000,15210231,5992550.36,1077187.81,1232189.54,," $23,537,158.71 ",,
6095252912,0,4332058,382833.23,1048285.33,0,129000,,,,,,,," $5,892,176.56 ",,
11001005800,,"$431,394.00 ","$40,663,695.00 ","$22,782,413.12 ","$5,955,679.79 ","$25,513,592.89 ","$6,184,580.08 ","$1,699,791.61 ","$94,071.74 ","($13,145.00)","$826,673.04 ","$300,000.00 ",," $104,438,746.27 ",,
48439123300,0,12320580.73,3276574.7,6477275.44,2221497.85,-3.3,,,-235267.72,-1479.36,,-20470.27,," $24,038,708.07 ",METRO19100MM2800,
40019892700,,,4387893,49334566.87,4699927.68,3701548,27989,,57962,,,,," $62,209,886.55 ",NCNTY40019N40019,0
26097950300,,5036386.41,4046486.67,5600469.7,7841471.53,5039890.07,4179510.05,4161232.08,26471209.75,1598332.48,416431.44,2119646.06,0," $66,511,066.24 ",,
15001021702,,,,261040.82,18631871.59,32780570.9,8550275.23,2455942,16805785.67,4857008.89,943805,0,," $85,286,300.10 ",,
24023000500,,274235.88,3740786.72,4206166.6,3421111.01,4424706.32,1382809.58,1327467.96,1825989.79,1698132.89,11811.41,,," $22,313,218.16 ",,
12095018400,,,3913080.23,9642685.78,389321,422877,,,,,,,," $14,367,964.01 ",,
22007050300,,,8674738,1059172,9117797.62,10243571.18,-92269.45,75832.27,-18873.76,-58118.97,,,," $29,001,848.89 ",,
6001425104,0,13325200,525293.01,0,1620000,168800.48,0,,,,,,," $15,639,293.49 ",,
37123960100,,,,,11970749.98,2305173.55,5254226.02,9602888.46,7091128.71,106245.9,2163308.7,81384.07,," $38,575,105.39 ",NCNTY37123N37123,0
11001005800,,,,,,,,,"$2,336,448.85 ","$2,659,488.94 ","$3,379,883.67 ","$577,471.86 ","($426,901.09)"," $8,526,392.23 ",,
27053026103,,,,,,,,,,,5099216.59,3035798.9,7720265.97," $15,855,281.46 ",,
11001010600,,,,,,"$997,193.15 ","$16,409,241.45 ","$24,574,406.19 ","$32,670,023.75 ","$12,292,938.77 ","$25,538,083.56 ","$11,957,970.78 ","$7,112,555.35 "," $131,552,413.00 ",,
2170001201,,,,4188790.19,14109517.02,15412493.29,17710880.44,20347303.84,16116625.56,21954077.55,23935233.58,6890454.38,701625," $141,367,000.85 ",,
24031700904,,2500,166170,1153351,1246781.95,383511,194572.13,1532103.87,17415255.01,5898032.37,10334792.42,9852328.68,60406.63," $48,239,805.06 ",,
